"","Unnamed: 0","organisation","service","historical_service_equiv","historical_service_equiv_jb","web_archive_value","other_website_value","final_transactions_value","final_transactions_value_source","note","unique_clicks_2022","govuk_start_page_url","topic","priority","retired","verb","service_type","service_category","excluded","exclusion_comment","send_physical_letters","receive_physical_letters","manual_document_checking","identity_check","unique_clicks_2021","requesting_information","unique_clicks_final","predicted_transactions","transaction_value","RTI","task_count","RTI_perc","rubric_score_manual","org_n","org_name"
"200",248,"Department for International Trade","check uk trade tariffs from 1 january 2021",NA,"x","x",NA,NA,"no value","not present",782,"https://www.gov.uk/check-tariffs-1-january-2021","Money and tax",0,TRUE,"Check","Requesting information","Fully-automated",TRUE,"It appears as though this is an information-based service, although there does appear to be the option to pay VAT based on the responses given to the questions. I can't access the section which requires this type of interaction as I don't have commodity codes, so cant see the full parametres of this service.",NA,NA,NA,NA,0,1,782,6835.48770161414,6835.48770161414,NA,NA,NA,NA,6,"Other"
"201",89,"Home Office","modern slavery statement registry",NA,"x","x",NA,NA,"no value",NA,687,"https://modern-slavery-statement-registry.service.gov.uk","Citizenship and living in the UK",0,FALSE,"Access","Requesting information","Fully-automated",TRUE,NA,NA,NA,NA,NA,687,1,687,6106.72327172639,6106.72327172639,NA,NA,NA,NA,25,"Home Office"
"202",185,"Teaching Regulation Agency","refer serious misconduct by a teacher in england",NA,"x","x",NA,NA,"no value",NA,687,"https://www.gov.uk/report-teacher-misconduct","Education, training and skills",0,FALSE,"Refer","Providing information","Transactional service",FALSE,NA,NA,NA,NA,NA,0,0,687,8157.95883066535,8157.95883066535,0.25,8,62.5,NA,1,"Other"
"203",215,"Environment Agency","register for a fluorinated gas (f gas) account",NA,"x","x",NA,NA,"no value",NA,684,"https://register.fluorinated-gas.service.gov.uk/register/index","Environment and countryside",0,FALSE,"Register","Registering","Transactional service",FALSE,NA,NA,NA,NA,NA,0,0,684,2427.6456993859,2427.6456993859,1,4,100,NA,18,"Environment Agency"
"204",261,"HM Revenue and Customs","register for the soft drinks industry levy",NA,"x","x",NA,NA,"no value",NA,466,"https://www.tax.service.gov.uk/gg/sign-in?continue=/soft-drinks-industry-levy/register/start&origin=soft-drinks-industry-levy-frontend","Money and tax",0,FALSE,"Register","Registering","Transactional service",FALSE,NA,"No","No","No","No",466,0,466,3154.49448583631,3154.49448583631,0.6,5,80,NA,30,"HM Revenue and Customs"
"205",310,"Government Digital Service","find out what support you can get if you’re affected by coronavirus",NA,"x","x",NA,NA,"no value",NA,388,"https://www.gov.uk/find-coronavirus-support","Coronavirus",0,TRUE,"Find","Requesting information","Currently unavailable",TRUE,NA,NA,NA,NA,NA,0,1,388,4.66131747971081,4.66131747971081,NA,NA,NA,NA,3,"Other"
"206",86,"Cabinet Office","ethnicity facts and figures",NA,"x","x",NA,NA,"no value",NA,341,"https://www.ethnicity-facts-figures.service.gov.uk","Citizenship and living in the UK",0,FALSE,"Access","Requesting information","Fully-automated",TRUE,NA,NA,NA,NA,NA,0,1,341,4038.55468543147,4038.55468543147,NA,NA,NA,NA,11,"Cabinet Office"
"207",155,"Department for Transport","road traffic statistics",NA,"x","x",NA,NA,"no value","not present",311,"https://roadtraffic.dft.gov.uk","Driving and transport",0,FALSE,"Access","Requesting information","Fully-automated",TRUE,NA,NA,NA,NA,NA,0,1,311,23769.3173523066,23769.3173523066,NA,NA,NA,NA,8,"Other"
"208",53,"Office for Product Safety and Standards","product safety database",NA,"x","x",NA,NA,"no value",NA,301,"https://www.product-safety-database.service.gov.uk","Business and self-employed",0,FALSE,"Access","Requesting information","Transactional service",FALSE,NA,NA,NA,NA,NA,301,1,301,3966.28967510201,3966.28967510201,1,1,100,NA,2,"Other"
"209",176,"Department for Education","get help buying for schools",NA,"x","x",NA,NA,"no value","not present",272,"https://www.get-help-buying-for-schools.service.gov.uk","Education, training and skills",0,FALSE,"Get","Requesting information","Information-based",TRUE,NA,NA,NA,NA,NA,0,1,272,6945.43582443244,6945.43582443244,NA,NA,NA,NA,30,"Department for Education"
"210",67,"Cabinet Office","supplier registration",NA,"x","x",NA,NA,"no value","not present",270,"https://supplierregistration.cabinetoffice.gov.uk","Business and self-employed",0,FALSE,"Supplier","Registering","Fully-automated",TRUE,NA,NA,NA,NA,NA,0,0,270,1076.3372694563,1076.3372694563,NA,NA,NA,NA,11,"Cabinet Office"
"211",188,"Department for Education","register trainee teachers",NA,"x","x",NA,NA,"no value","not present",260,"https://www.register-trainee-teachers.education.gov.uk","Education, training and skills",0,FALSE,"Register","Registering","Transactional service",FALSE,NA,NA,NA,NA,NA,0,0,260,4596.93745940021,4596.93745940021,1,3,100,NA,30,"Department for Education"
"212",179,"Department for Education","get school experience",NA,"x","x",NA,NA,"no value","not present",248,"https://schoolexperience.education.gov.uk","Education, training and skills",0,FALSE,"Get","Registering","Transactional service",FALSE,NA,NA,NA,NA,NA,0,0,248,4470.47706608706,4470.47706608706,0.6,5,80,NA,30,"Department for Education"
"213",66,"Ministry of Defence","supplier cyber protection",NA,"x","x",NA,NA,"no value",NA,248,"https://supplier-cyber-protection.service.gov.uk/","Business and self-employed",0,TRUE,"Access","Requesting information","Currently unavailable",TRUE,"No longer exists",NA,NA,NA,NA,248,1,248,1.69420877381024,1.69420877381024,NA,NA,NA,NA,2,"Other"
"214",204,"Office for National Statistics","climate change",NA,"x","x",NA,NA,"no value",NA,248,"https://climate-change.data.gov.uk","Environment and countryside",0,FALSE,"Access","Requesting information","Information-based",TRUE,NA,NA,NA,NA,NA,0,1,248,1962.19690397793,1962.19690397793,NA,NA,NA,NA,1,"Other"
"215",199,"Environment Agency","apply for ozone-depleting substances (ods) import and export licence",NA,"x","x",NA,NA,"no value","There is a record for fluorinated gas but it is included below",231,"https://apply-licence.ozone-depleting-substances.service.gov.uk/","Environment and countryside",0,FALSE,"Apply","Requesting a licence or consent","Transactional service",FALSE,NA,NA,NA,NA,NA,231,0,231,1279.00967703079,1279.00967703079,0.333333333333333,6,66.6666666666667,NA,18,"Environment Agency"
"216",200,"Environment Agency","apply for ozone-depleting substances (ods) quota",NA,"x","x",NA,NA,"no value",NA,231,"https://apply-quota.ozone-depleting-substances.service.gov.uk/","Environment and countryside",0,FALSE,"Apply","Requesting a licence or consent","Transactional service",FALSE,NA,NA,NA,NA,NA,0,0,231,1279.00967703079,1279.00967703079,0.333333333333333,6,66.6666666666667,NA,18,"Environment Agency"
"217",198,"Environment Agency","apply for fluorinated gas (f gas) quota","Fluorinated greenhouse gas and ozone depleting substances: notifications","x","x",NA,NA,"no value",NA,230,"https://apply-quota.fluorinated-gas.service.gov.uk/applyforquota/index","Environment and countryside",0,FALSE,"Apply","Registering","Transactional service",FALSE,NA,NA,NA,NA,NA,0,0,230,1275.73816557295,1275.73816557295,0.666666666666667,6,83.3333333333333,NA,18,"Environment Agency"
"218",114,"Maritime and Coastguard Agency","report wreck material",NA,"x","x",NA,NA,"no value",NA,218,"https://report-wreck-material.service.gov.uk/report/removed-property-check","Crime, justice and the law",0,FALSE,"Report","Providing information","Transactional service",FALSE,NA,NA,NA,NA,NA,218,0,218,9391.71904452397,9391.71904452397,1,6,100,NA,3,"Other"
"219",133,"Department for Transport","download national public transport access nodes (naptan) data",NA,"x","x",NA,NA,"no value","not present",210,"https://beta-naptan.dft.gov.uk","Driving and transport",0,FALSE,"Download","Requesting information","Fully-automated",TRUE,NA,NA,NA,NA,NA,0,1,210,18851.234097635,18851.234097635,NA,NA,NA,NA,8,"Other"
"220",376,"Cabinet Office","national security vetting service",NA,"x","x",NA,NA,"no value","not present",160,"https://nsv.mod.uk/Login.aspx?ReturnUrl=%2f","Citizenship and living in the UK",1,FALSE,"Access","Requesting information","Transactional service",FALSE,NA,NA,NA,NA,NA,0,1,160,3801.42183520157,3801.42183520157,0.333333333333333,12,66.6666666666667,"LP",11,"Cabinet Office"
"221",119,"Driver and Vehicle Standards Agency","apply for an international road haulage permit",NA,"x","x",NA,NA,"no value",NA,146,"https://www.gov.uk/guidance/international-authorisations-and-permits-for-road-haulage","Driving and transport",0,FALSE,"Apply","Requesting a licence or consent","Transactional service",FALSE,NA,NA,NA,NA,NA,0,0,146,9528.5274914447,9528.5274914447,0.75,8,87.5,NA,16,"Driver and Vehicle Standards Agency"
"222",313,"Government Digital Service","get support if you’re clinically extremely vulnerable to coronavirus",NA,"x","x",NA,NA,"no value",NA,137,"https://www.gov.uk/coronavirus-shielding-support","Coronavirus",0,TRUE,"Get","Requesting benefit payments or loans","Currently unavailable",TRUE,NA,NA,NA,NA,NA,0,0,137,1.07340905769511,1.07340905769511,NA,NA,NA,NA,3,"Other"
"223",149,"Department for Transport","publish bus open data",NA,"x","x",NA,NA,"no value","not present",114,"https://publish.bus-data.dft.gov.uk","Driving and transport",0,FALSE,"Publish","Providing information","Fully-automated",TRUE,NA,NA,NA,NA,NA,0,0,114,5595.89549269159,5595.89549269159,NA,NA,NA,NA,8,"Other"
"224",85,"Cabinet Office","emergency alerts",NA,"x","x",NA,NA,"no value","not present",NA,"https://www.gov.uk/alerts","Citizenship and living in the UK",0,FALSE,"Access","Requesting information","Fully-automated",TRUE,NA,NA,NA,NA,NA,0,1,18563,42755.341486248,42755.341486248,NA,NA,NA,NA,11,"Cabinet Office"
"225",127,"Cabinet Office","check an hgv is ready to cross the border",NA,"x","x",NA,NA,"no value","not present",NA,"https://www.gov.uk/check-hgv-border","Driving and transport",0,TRUE,"Check","Requesting information","Currently unavailable",TRUE,NA,NA,NA,NA,NA,0,1,18563,187.221327683537,187.221327683537,NA,NA,NA,NA,11,"Cabinet Office"
"226",10,"Care Quality Commissions","give feedback on care",NA,"x","x",NA,NA,"no value","not present",NA,"https://give-feedback-on-care.service.cqc.org.uk/form/what-you-want-to-tell-us-about?searchReferrer=start-questions","Births, deaths, marriages and care",0,FALSE,"Give","Providing information","Transactional service",FALSE,NA,NA,NA,NA,NA,0,0,18563,5874.6518925102,5874.6518925102,1,3,100,NA,1,"Other"
"227",152,"Civil Aviation Authority","register to use a drone or model aircraft",NA,"x","x",NA,NA,"no value","not present",NA,"https://register-drones.caa.co.uk/register/enter-email","Driving and transport",0,FALSE,"Register","Registering","Transactional service",FALSE,NA,NA,NA,NA,NA,0,0,18563,166445.360699471,166445.360699471,0.6,5,80,NA,1,"Other"
"228",60,"Department for Business, Energy & Industrial Strategy","report your official development assistance",NA,"x","x",NA,NA,"no value","not present",NA,"https://www.report-official-development-assistance.service.gov.uk","Business and self-employed",0,FALSE,"Report","Providing information","Fully-automated",TRUE,NA,NA,NA,NA,NA,0,0,18563,13078.7892900824,13078.7892900824,NA,NA,NA,NA,18,"Department for Business, Energy & Industrial Strategy"
"229",228,"Department for Business, Energy & Industrial Strategy","check if you are eligible for the green homes grant",NA,"x","x",NA,NA,"no value","not present",NA,"https://www.gov.uk/check-eligible-green-homes-grant","Housing and local services",0,TRUE,"Check","Requesting information","Currently unavailable",TRUE,NA,"No","No","Yes","No",0,1,18563,145.222963080975,145.222963080975,NA,NA,NA,NA,18,"Department for Business, Energy & Industrial Strategy"
"230",231,"Department for Business, Energy & Industrial Strategy","find energy improvements suitable for your home",NA,"x","x",NA,NA,"no value","not present",NA,"https://find-energy-improvements-suitable-for-your-home.service.gov.uk/energy-efficiency/new-or-returning-user","Housing and local services",0,FALSE,"Find","Requesting information","Special sign-in required",TRUE,"I cannot access this as it requires a specific reference code, however it appears as though it is an information-based service which provides access to automatically generated advice based on pre-existing information in the database",NA,NA,NA,NA,0,1,18563,589864.617482248,589864.617482248,NA,NA,NA,NA,18,"Department for Business, Energy & Industrial Strategy"
"231",244,"Department for Business, Energy & Industrial Strategy","apply for support for alternative fuels",NA,"x","x",NA,NA,"no value","not present",NA,"https://online.apply-for-alternative-fuel-support.service.gov.uk/s/#where-do-you-live","Money and tax",0,FALSE,"Apply","Requesting benefit payments or loans","Currently unavailable",TRUE,"The service is discontinued; no info available on what the service might have looked like prior to being discontinued.",NA,NA,NA,NA,0,0,18563,13.3003904901521,13.3003904901521,NA,NA,NA,NA,18,"Department for Business, Energy & Industrial Strategy"
